#queryIndex	queryItem	stringId	preferredName	annotation
81	PRPH	9606.ENSP00000257860	PRPH	Peripherin; Class-III neuronal intermediate filament protein; Belongs to the intermediate filament family.
82	PSME1	9606.ENSP00000372155	PSME1	Proteasome activator complex subunit 1; Implicated in immunoproteasome assembly and required for efficient antigen processing. The PA28 activator complex enhances the generation of class I binding peptides by altering the cleavage pattern of the proteasome.
83	PTPN12	9606.ENSP00000248594	PTPN12	Tyrosine-protein phosphatase non-receptor type 12; Dephosphorylates a range of proteins, and thereby regulates cellular signaling cascades. Dephosphorylates cellular tyrosine kinases, such as ERBB2 and PTK2B/PYK2, and thereby regulates signaling via ERBB2 and PTK2B/PYK2. Selectively dephosphorylates ERBB2 phosphorylated at 'Tyr-1112', 'Tyr-1196', and/or 'Tyr-1248'.
84	PTPRC	9606.ENSP00000411355	PTPRC	Receptor-type tyrosine-protein phosphatase C; Protein tyrosine-protein phosphatase required for T-cell activation through the antigen receptor. Acts as a positive regulator of T-cell coactivation upon binding to DPP4. The first PTPase domain has enzymatic activity, while the second one seems to affect the substrate specificity of the first one. Upon T-cell activation, recruits and dephosphorylates SKAP1 and FYN. Dephosphorylates LYN, and thereby modulates LYN activity (By similarity); Belongs to the protein-tyrosine phosphatase family. Receptor class 1/6 subfamily.
85	RBM6	9606.ENSP00000266022	RBM6	RNA-binding protein 6; Specifically binds poly(G) RNA homopolymers in vitro.
86	RPA2	9606.ENSP00000363017	RPA2	Replication protein A 32 kDa subunit; As part of the heterotrimeric replication protein A complex (RPA/RP-A), binds and stabilizes single-stranded DNA intermediates, that form during DNA replication or upon DNA stress. It prevents their reannealing and in parallel, recruits and activates different proteins and complexes involved in DNA metabolism. Thereby, it plays an essential role both in DNA replication and the cellular response to DNA damage. In the cellular response to DNA damage, the RPA complex controls DNA repair and DNA damage checkpoint activation. Through recruitment of ATRI [...] 
87	SAA2	9606.ENSP00000436126	SAA2	Serum amyloid A-2 protein; Major acute phase reactant. Apolipoprotein of the HDL complex; Belongs to the SAA family.
88	SFPQ	9606.ENSP00000349748	SFPQ	Splicing factor, proline- and glutamine-rich; DNA- and RNA binding protein, involved in several nuclear processes. Essential pre-mRNA splicing factor required early in spliceosome formation and for splicing catalytic step II, probably as a heteromer with NONO. Binds to pre-mRNA in spliceosome C complex, and specifically binds to intronic polypyrimidine tracts. Involved in regulation of signal-induced alternative splicing. During splicing of PTPRC/CD45, a phosphorylated form is sequestered by THRAP3 from the pre-mRNA in resting T-cells; T-cell activation and subsequent reduced phosphory [...] 
89	SH3BP2	9606.ENSP00000424846	SH3BP2	SH3 domain-binding protein 2; Binds differentially to the SH3 domains of certain proteins of signal transduction pathways. Binds to phosphatidylinositols; linking the hemopoietic tyrosine kinase fes to the cytoplasmic membrane in a phosphorylation dependent mechanism.
90	SLC39A14	9606.ENSP00000370635	SLC39A14	Zinc transporter ZIP14; Broad-scope metal ion transporter with a preference for zinc uptake. Also mediates cellular uptake of nontransferrin-bound iron.
91	SPON1	9606.ENSP00000460236	SPON1	Spondin-1; Cell adhesion protein that promotes the attachment of spinal cord and sensory neuron cells and the outgrowth of neurites in vitro. May contribute to the growth and guidance of axons in both the spinal cord and the PNS (By similarity). Major factor for vascular smooth muscle cell.
92	STIP1	9606.ENSP00000351646	STIP1	Stress-induced-phosphoprotein 1; Acts as a co-chaperone for HSP90AA1. Mediates the association of the molecular chaperones HSPA8/HSC70 and HSP90 (By similarity).
93	SVIL	9606.ENSP00000348128	SVIL	Supervillin; [Isoform 1]: Forms a high-affinity link between the actin cytoskeleton and the membrane. Is among the first costameric proteins to assemble during myogenesis and it contributes to myogenic membrane structure and differentiation. Appears to be involved in myosin II assembly. May modulate myosin II regulation through MLCK during cell spreading, an initial step in cell migration. May play a role in invadopodial function.
94	SYPL1	9606.ENSP00000011473	SYPL1	Synaptophysin-like protein 1; Synaptophysin like 1; Belongs to the synaptophysin/synaptobrevin family.
95	TFAM	9606.ENSP00000420588	TFAM	Transcription factor A, mitochondrial; Binds to the mitochondrial light strand promoter and functions in mitochondrial transcription regulation. Component of the mitochondrial transcription initiation complex, composed at least of TFB2M, TFAM and POLRMT that is required for basal transcription of mitochondrial DNA. In this complex, TFAM recruits POLRMT to a specific promoter whereas TFB2M induces structural changes in POLRMT to enable promoter opening and trapping of the DNA non-template strand. Required for accurate and efficient promoter recognition by the mitochondrial RNA polymeras [...] 
96	THNSL2	9606.ENSP00000327323	THNSL2	Threonine synthase-like 2; [Isoform 1]: Acts as a catabolic phospho-lyase on both gamma- and beta-phosphorylated substrates. Degrades O-phospho-threonine (PThr) to alpha-ketobutyrate, ammonia and phosphate (By similarity).
97	THRA	9606.ENSP00000264637	THRA	Thyroid hormone receptor alpha; [Isoform Alpha-1]: Nuclear hormone receptor that can act as a repressor or activator of transcription. High affinity receptor for thyroid hormones, including triiodothyronine and thyroxine. Belongs to the nuclear hormone receptor family. NR1 subfamily.
98	TNXB	9606.ENSP00000407685	TNXB	Tenascin-X; Appears to mediate interactions between cells and the extracellular matrix. Substrate-adhesion molecule that appears to inhibit cell migration. Accelerates collagen fibril formation. May play a role in supporting the growth of epithelial tumors.
99	TYMP	9606.ENSP00000379038	TYMP	Thymidine phosphorylase; May have a role in maintaining the integrity of the blood vessels. Has growth promoting activity on endothelial cells, angiogenic activity in vivo and chemotactic activity on endothelial cells in vitro.
100	VGF	9606.ENSP00000249330	VGF	Neuroendocrine regulatory peptide-1; [Neurosecretory protein VGF]: Secreted polyprotein that is packaged and proteolytically processed by prohormone convertases PCSK1 and PCSK2 in a cell-type-specific manner (By similarity). VGF and peptides derived from its processing play many roles in neurogenesis and neuroplasticity associated with learning, memory, depression and chronic pain (By similarity). [Neuroendocrine regulatory peptide-2]: Plays a role in the control of body fluid homeostasis by regulating vasopressin release. Activates GABAergic interneurons which are inhibitory neurons o [...] 
101	VTN	9606.ENSP00000226218	VTN	Vitronectin V10 subunit; Vitronectin is a cell adhesion and spreading factor found in serum and tissues. Vitronectin interact with glycosaminoglycans and proteoglycans. Is recognized by certain members of the integrin family and serves as a cell-to-substrate adhesion molecule. Inhibitor of the membrane-damaging effect of the terminal cytolytic complement pathway.
