#category	term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO Component	GO:0030141	Secretory granule	15	873	0.53	0.48	0.0041	9606.ENSP00000011473,9606.ENSP00000245907,9606.ENSP00000249330,9606.ENSP00000266041,9606.ENSP00000268182,9606.ENSP00000300060,9606.ENSP00000340019,9606.ENSP00000365402,9606.ENSP00000367851,9606.ENSP00000371152,9606.ENSP00000380948,9606.ENSP00000411355,9606.ENSP00000450540,9606.ENSP00000452786,9606.ENSP00000497382	SYPL1,C3,VGF,ITIH4,IQGAP1,ANPEP,HSPD1,HLA-C,CYBB,ASAH1,ITGB2,PTPRC,SERPINA3,ITGB3,CD53
GO Component	GO:0030667	Secretory granule membrane	9	308	0.76	0.56	0.0041	9606.ENSP00000249330,9606.ENSP00000268182,9606.ENSP00000300060,9606.ENSP00000365402,9606.ENSP00000367851,9606.ENSP00000380948,9606.ENSP00000411355,9606.ENSP00000452786,9606.ENSP00000497382	VGF,IQGAP1,ANPEP,HLA-C,CYBB,ITGB2,PTPRC,ITGB3,CD53
GO Component	GO:0098576	Lumenal side of membrane	4	32	1.4	0.67	0.0041	9606.ENSP00000364114,9606.ENSP00000365402,9606.ENSP00000376184,9606.ENSP00000378786	HLA-DRB5,HLA-C,BDH1,HLA-DRA
GO Component	GO:0043227	Membrane-bounded organelle	84	13188	0.1	0.3	0.0055	9606.ENSP00000011473,9606.ENSP00000173229,9606.ENSP00000222573,9606.ENSP00000226218,9606.ENSP00000236959,9606.ENSP00000245907,9606.ENSP00000248594,9606.ENSP00000249330,9606.ENSP00000257860,9606.ENSP00000260665,9606.ENSP00000263578,9606.ENSP00000264613,9606.ENSP00000264637,9606.ENSP00000264828,9606.ENSP00000264832,9606.ENSP00000266022,9606.ENSP00000266041,9606.ENSP00000266254,9606.ENSP00000268182,9606.ENSP00000296220,9606.ENSP00000298159,9606.ENSP00000300060,9606.ENSP00000310036,9606.ENSP00000310623,9606.ENSP00000314649,9606.ENSP00000317780,9606.ENSP00000330737,9606.ENSP00000339157,9606.ENSP00000340019,9606.ENSP00000348128,9606.ENSP00000349577,9606.ENSP00000349748,9606.ENSP00000350314,9606.ENSP00000351646,9606.ENSP00000352071,9606.ENSP00000357055,9606.ENSP00000359151,9606.ENSP00000359497,9606.ENSP00000360141,9606.ENSP00000363017,9606.ENSP00000363868,9606.ENSP00000364114,9606.ENSP00000365402,9606.ENSP00000365462,9606.ENSP00000367851,9606.ENSP00000369739,9606.ENSP00000370635,9606.ENSP00000371152,9606.ENSP00000372155,9606.ENSP00000373477,9606.ENSP00000376184,9606.ENSP00000377486,9606.ENSP00000378131,9606.ENSP00000378786,9606.ENSP00000379372,9606.ENSP00000379845,9606.ENSP00000379975,9606.ENSP00000380948,9606.ENSP00000380958,9606.ENSP00000381581,9606.ENSP00000381601,9606.ENSP00000385757,9606.ENSP00000389631,9606.ENSP00000392147,9606.ENSP00000399259,9606.ENSP00000407685,9606.ENSP00000410242,9606.ENSP00000411355,9606.ENSP00000416561,9606.ENSP00000417864,9606.ENSP00000420588,9606.ENSP00000432768,9606.ENSP00000436126,9606.ENSP00000446955,9606.ENSP00000450540,9606.ENSP00000452786,9606.ENSP00000460236,9606.ENSP00000473980,9606.ENSP00000478303,9606.ENSP00000480132,9606.ENSP00000482841,9606.ENSP00000491537,9606.ENSP00000497382,9606.ENSP00000498358	SYPL1,NTN1,ITGB8,VTN,ATIC,C3,PTPN12,VGF,PRPH,LRPPRC,FOXRED1,CP,THRA,COL5A3,ICAM1,RBM6,ITIH4,TTLL1,IQGAP1,OSBPL11,CFL2,ANPEP,CD34,ISCU,ALDH5A1,COX5A,NDUFA12,CPM,HSPD1,SVIL,PRODH,SFPQ,BCO2,STIP1,CD163,PEA15,DBT,GBP2,GNAS,RPA2,ABCA1,HLA-DRB5,HLA-C,PCCA,CYBB,BPHL,SLC39A14,ASAH1,PSME1,GPX3,BDH1,MRPL19,CFI,HLA-DRA,GTF2A2,ABAT,ILK,ITGB2,MBP,LCP1,MX1,BLVRA,ARPC1B,PPP6C,FCHSD1,TNXB,IGF2BP2,PTPRC,CFB,ANP32A,TFAM,CKAP5,SAA2,MYL6,SERPINA3,ITGB3,SPON1,MRPL37,POLR2E,NCAM1,CRABP2,FDFT1,CD53,FECH
GO Component	GO:0009897	External side of plasma membrane	9	388	0.66	0.41	0.0182	9606.ENSP00000264832,9606.ENSP00000300060,9606.ENSP00000310036,9606.ENSP00000352071,9606.ENSP00000363868,9606.ENSP00000380948,9606.ENSP00000411355,9606.ENSP00000452786,9606.ENSP00000480132	ICAM1,ANPEP,CD34,CD163,ABCA1,ITGB2,PTPRC,ITGB3,NCAM1
GO Component	GO:0015629	Actin cytoskeleton	10	482	0.62	0.4	0.0182	9606.ENSP00000173229,9606.ENSP00000248594,9606.ENSP00000268182,9606.ENSP00000298159,9606.ENSP00000348128,9606.ENSP00000377195,9606.ENSP00000381581,9606.ENSP00000389631,9606.ENSP00000399259,9606.ENSP00000446955	NTN1,PTPN12,IQGAP1,CFL2,SVIL,DBN1,LCP1,ARPC1B,FCHSD1,MYL6
GO Component	GO:0043226	Organelle	86	14017	0.09	0.26	0.0182	9606.ENSP00000011473,9606.ENSP00000173229,9606.ENSP00000222573,9606.ENSP00000226218,9606.ENSP00000236959,9606.ENSP00000245907,9606.ENSP00000248594,9606.ENSP00000249330,9606.ENSP00000257860,9606.ENSP00000260665,9606.ENSP00000263578,9606.ENSP00000264613,9606.ENSP00000264637,9606.ENSP00000264828,9606.ENSP00000264832,9606.ENSP00000266022,9606.ENSP00000266041,9606.ENSP00000266254,9606.ENSP00000268182,9606.ENSP00000296220,9606.ENSP00000298159,9606.ENSP00000300060,9606.ENSP00000300648,9606.ENSP00000310036,9606.ENSP00000310623,9606.ENSP00000314649,9606.ENSP00000317780,9606.ENSP00000330737,9606.ENSP00000339157,9606.ENSP00000340019,9606.ENSP00000348128,9606.ENSP00000349577,9606.ENSP00000349748,9606.ENSP00000350314,9606.ENSP00000351646,9606.ENSP00000352071,9606.ENSP00000357055,9606.ENSP00000359151,9606.ENSP00000359497,9606.ENSP00000360141,9606.ENSP00000363017,9606.ENSP00000363868,9606.ENSP00000364114,9606.ENSP00000365402,9606.ENSP00000365462,9606.ENSP00000367851,9606.ENSP00000369739,9606.ENSP00000370635,9606.ENSP00000371152,9606.ENSP00000372155,9606.ENSP00000373477,9606.ENSP00000376184,9606.ENSP00000377195,9606.ENSP00000377486,9606.ENSP00000378131,9606.ENSP00000378786,9606.ENSP00000379372,9606.ENSP00000379845,9606.ENSP00000379975,9606.ENSP00000380948,9606.ENSP00000380958,9606.ENSP00000381581,9606.ENSP00000381601,9606.ENSP00000385757,9606.ENSP00000389631,9606.ENSP00000392147,9606.ENSP00000399259,9606.ENSP00000407685,9606.ENSP00000410242,9606.ENSP00000411355,9606.ENSP00000416561,9606.ENSP00000417864,9606.ENSP00000420588,9606.ENSP00000432768,9606.ENSP00000436126,9606.ENSP00000446955,9606.ENSP00000450540,9606.ENSP00000452786,9606.ENSP00000460236,9606.ENSP00000473980,9606.ENSP00000478303,9606.ENSP00000480132,9606.ENSP00000482841,9606.ENSP00000491537,9606.ENSP00000497382,9606.ENSP00000498358	SYPL1,NTN1,ITGB8,VTN,ATIC,C3,PTPN12,VGF,PRPH,LRPPRC,FOXRED1,CP,THRA,COL5A3,ICAM1,RBM6,ITIH4,TTLL1,IQGAP1,OSBPL11,CFL2,ANPEP,GCN1,CD34,ISCU,ALDH5A1,COX5A,NDUFA12,CPM,HSPD1,SVIL,PRODH,SFPQ,BCO2,STIP1,CD163,PEA15,DBT,GBP2,GNAS,RPA2,ABCA1,HLA-DRB5,HLA-C,PCCA,CYBB,BPHL,SLC39A14,ASAH1,PSME1,GPX3,BDH1,DBN1,MRPL19,CFI,HLA-DRA,GTF2A2,ABAT,ILK,ITGB2,MBP,LCP1,MX1,BLVRA,ARPC1B,PPP6C,FCHSD1,TNXB,IGF2BP2,PTPRC,CFB,ANP32A,TFAM,CKAP5,SAA2,MYL6,SERPINA3,ITGB3,SPON1,MRPL37,POLR2E,NCAM1,CRABP2,FDFT1,CD53,FECH
GO Component	GO:0098636	Protein complex involved in cell adhesion	4	52	1.18	0.49	0.0182	9606.ENSP00000222573,9606.ENSP00000226218,9606.ENSP00000380948,9606.ENSP00000452786	ITGB8,VTN,ITGB2,ITGB3
GO Component	GO:0062023	Collagen-containing extracellular matrix	9	407	0.64	0.4	0.0213	9606.ENSP00000173229,9606.ENSP00000226218,9606.ENSP00000264828,9606.ENSP00000264832,9606.ENSP00000266041,9606.ENSP00000379212,9606.ENSP00000407685,9606.ENSP00000450540,9606.ENSP00000480132	NTN1,VTN,COL5A3,ICAM1,ITIH4,PODN,TNXB,SERPINA3,NCAM1
GO Component	GO:0071062	alphav-beta3 integrin-vitronectin complex	2	3	2.12	0.5	0.0213	9606.ENSP00000226218,9606.ENSP00000452786	VTN,ITGB3
GO Component	GO:0042611	MHC protein complex	3	24	1.4	0.46	0.0256	9606.ENSP00000364114,9606.ENSP00000365402,9606.ENSP00000378786	HLA-DRB5,HLA-C,HLA-DRA
GO Component	GO:0032991	Protein-containing complex	44	5506	0.2	0.28	0.0260	9606.ENSP00000046794,9606.ENSP00000222573,9606.ENSP00000226218,9606.ENSP00000245907,9606.ENSP00000260665,9606.ENSP00000263578,9606.ENSP00000264637,9606.ENSP00000264828,9606.ENSP00000268182,9606.ENSP00000300648,9606.ENSP00000310036,9606.ENSP00000310623,9606.ENSP00000317780,9606.ENSP00000330737,9606.ENSP00000340019,9606.ENSP00000349748,9606.ENSP00000351646,9606.ENSP00000357055,9606.ENSP00000359151,9606.ENSP00000359258,9606.ENSP00000360141,9606.ENSP00000363017,9606.ENSP00000364114,9606.ENSP00000365402,9606.ENSP00000365462,9606.ENSP00000367851,9606.ENSP00000372155,9606.ENSP00000377486,9606.ENSP00000378131,9606.ENSP00000378786,9606.ENSP00000379372,9606.ENSP00000379845,9606.ENSP00000380948,9606.ENSP00000380958,9606.ENSP00000385035,9606.ENSP00000389631,9606.ENSP00000416561,9606.ENSP00000420588,9606.ENSP00000432768,9606.ENSP00000436126,9606.ENSP00000446955,9606.ENSP00000452786,9606.ENSP00000473980,9606.ENSP00000478303	LCP2,ITGB8,VTN,C3,LRPPRC,FOXRED1,THRA,COL5A3,IQGAP1,GCN1,CD34,ISCU,COX5A,NDUFA12,HSPD1,SFPQ,STIP1,PEA15,DBT,GCLM,GNAS,RPA2,HLA-DRB5,HLA-C,PCCA,CYBB,PSME1,MRPL19,CFI,HLA-DRA,GTF2A2,ABAT,ITGB2,MBP,C1S,ARPC1B,CFB,TFAM,CKAP5,SAA2,MYL6,ITGB3,MRPL37,POLR2E
GO Component	GO:0031090	Organelle membrane	33	3673	0.25	0.29	0.0273	9606.ENSP00000011473,9606.ENSP00000249330,9606.ENSP00000260665,9606.ENSP00000263578,9606.ENSP00000264613,9606.ENSP00000268182,9606.ENSP00000296220,9606.ENSP00000300060,9606.ENSP00000317780,9606.ENSP00000330737,9606.ENSP00000340019,9606.ENSP00000349577,9606.ENSP00000352071,9606.ENSP00000359497,9606.ENSP00000360141,9606.ENSP00000363868,9606.ENSP00000364114,9606.ENSP00000365402,9606.ENSP00000367851,9606.ENSP00000369739,9606.ENSP00000370635,9606.ENSP00000376184,9606.ENSP00000377486,9606.ENSP00000378786,9606.ENSP00000380948,9606.ENSP00000381601,9606.ENSP00000411355,9606.ENSP00000452786,9606.ENSP00000473980,9606.ENSP00000480132,9606.ENSP00000491537,9606.ENSP00000497382,9606.ENSP00000498358	SYPL1,VGF,LRPPRC,FOXRED1,CP,IQGAP1,OSBPL11,ANPEP,COX5A,NDUFA12,HSPD1,PRODH,CD163,GBP2,GNAS,ABCA1,HLA-DRB5,HLA-C,CYBB,BPHL,SLC39A14,BDH1,MRPL19,HLA-DRA,ITGB2,MX1,PTPRC,ITGB3,MRPL37,NCAM1,FDFT1,CD53,FECH
GO Component	GO:0071556	Integral component of lumenal side of endoplasmic reticulum membrane	3	26	1.36	0.44	0.0285	9606.ENSP00000364114,9606.ENSP00000365402,9606.ENSP00000378786	HLA-DRB5,HLA-C,HLA-DRA
GO Component	GO:0031012	Extracellular matrix	10	552	0.56	0.34	0.0335	9606.ENSP00000173229,9606.ENSP00000226218,9606.ENSP00000264828,9606.ENSP00000264832,9606.ENSP00000266041,9606.ENSP00000379212,9606.ENSP00000407685,9606.ENSP00000450540,9606.ENSP00000460236,9606.ENSP00000480132	NTN1,VTN,COL5A3,ICAM1,ITIH4,PODN,TNXB,SERPINA3,SPON1,NCAM1
GO Component	GO:0008305	Integrin complex	3	30	1.3	0.41	0.0368	9606.ENSP00000222573,9606.ENSP00000380948,9606.ENSP00000452786	ITGB8,ITGB2,ITGB3
GO Component	GO:0019866	Organelle inner membrane	10	566	0.55	0.33	0.0370	9606.ENSP00000260665,9606.ENSP00000263578,9606.ENSP00000317780,9606.ENSP00000330737,9606.ENSP00000340019,9606.ENSP00000349577,9606.ENSP00000376184,9606.ENSP00000377486,9606.ENSP00000473980,9606.ENSP00000498358	LRPPRC,FOXRED1,COX5A,NDUFA12,HSPD1,PRODH,BDH1,MRPL19,MRPL37,FECH
GO Component	GO:0002102	Podosome	3	31	1.28	0.41	0.0379	9606.ENSP00000248594,9606.ENSP00000348128,9606.ENSP00000381581	PTPN12,SVIL,LCP1
GO Component	GO:0005739	Mitochondrion	19	1681	0.35	0.29	0.0389	9606.ENSP00000260665,9606.ENSP00000263578,9606.ENSP00000310623,9606.ENSP00000314649,9606.ENSP00000317780,9606.ENSP00000330737,9606.ENSP00000340019,9606.ENSP00000349577,9606.ENSP00000350314,9606.ENSP00000359151,9606.ENSP00000365462,9606.ENSP00000369739,9606.ENSP00000376184,9606.ENSP00000377486,9606.ENSP00000379845,9606.ENSP00000392147,9606.ENSP00000420588,9606.ENSP00000473980,9606.ENSP00000498358	LRPPRC,FOXRED1,ISCU,ALDH5A1,COX5A,NDUFA12,HSPD1,PRODH,BCO2,DBT,PCCA,BPHL,BDH1,MRPL19,ABAT,PPP6C,TFAM,MRPL37,FECH
STRING clusters	CL:19590	Integrin domain superfamily	5	24	1.62	0.82	0.0014	9606.ENSP00000222573,9606.ENSP00000226218,9606.ENSP00000264832,9606.ENSP00000380948,9606.ENSP00000452786	ITGB8,VTN,ICAM1,ITGB2,ITGB3
STRING clusters	CL:9656	Mixed, incl. Glutathione metabolism, and Detoxification of Reactive Oxygen Species	7	93	1.18	0.74	0.0016	9606.ENSP00000264613,9606.ENSP00000300060,9606.ENSP00000311469,9606.ENSP00000359258,9606.ENSP00000373477,9606.ENSP00000381340,9606.ENSP00000385757	CP,ANPEP,GSTM1,GCLM,GPX3,GGT5,BLVRA
STRING clusters	CL:18849	Initial triggering of complement, and Regulation of complement activation	4	31	1.41	0.5	0.0179	9606.ENSP00000245907,9606.ENSP00000378131,9606.ENSP00000385035,9606.ENSP00000416561	C3,CFI,C1S,CFB
STRING clusters	CL:19458	Collagen formation, and Protein complex involved in cell adhesion	6	119	1.0	0.45	0.0223	9606.ENSP00000222573,9606.ENSP00000226218,9606.ENSP00000264828,9606.ENSP00000264832,9606.ENSP00000380948,9606.ENSP00000452786	ITGB8,VTN,COL5A3,ICAM1,ITGB2,ITGB3
STRING clusters	CL:9810	Glutathione synthesis and recycling	3	12	1.7	0.46	0.0269	9606.ENSP00000300060,9606.ENSP00000359258,9606.ENSP00000381340	ANPEP,GCLM,GGT5
STRING clusters	CL:17810	Mixed, incl. Actin filament organization, and CDC42 GTPase cycle	7	193	0.86	0.4	0.0300	9606.ENSP00000248594,9606.ENSP00000268182,9606.ENSP00000298159,9606.ENSP00000377195,9606.ENSP00000379975,9606.ENSP00000381581,9606.ENSP00000389631	PTPN12,IQGAP1,CFL2,DBN1,ILK,LCP1,ARPC1B
STRING clusters	CL:19591	Integrin domain superfamily	3	17	1.55	0.38	0.0496	9606.ENSP00000222573,9606.ENSP00000226218,9606.ENSP00000452786	ITGB8,VTN,ITGB3
KEGG	hsa05150	Staphylococcus aureus infection	8	86	1.27	1.29	7.70e-06	9606.ENSP00000245907,9606.ENSP00000264832,9606.ENSP00000364114,9606.ENSP00000378131,9606.ENSP00000378786,9606.ENSP00000380948,9606.ENSP00000385035,9606.ENSP00000416561	C3,ICAM1,HLA-DRB5,CFI,HLA-DRA,ITGB2,C1S,CFB
KEGG	hsa04514	Cell adhesion molecules	9	138	1.11	1.19	8.84e-06	9606.ENSP00000222573,9606.ENSP00000264832,9606.ENSP00000310036,9606.ENSP00000364114,9606.ENSP00000365402,9606.ENSP00000378786,9606.ENSP00000380948,9606.ENSP00000411355,9606.ENSP00000480132	ITGB8,ICAM1,CD34,HLA-DRB5,HLA-C,HLA-DRA,ITGB2,PTPRC,NCAM1
KEGG	hsa04610	Complement and coagulation cascades	6	82	1.16	0.84	0.00058	9606.ENSP00000226218,9606.ENSP00000245907,9606.ENSP00000378131,9606.ENSP00000380948,9606.ENSP00000385035,9606.ENSP00000416561	VTN,C3,CFI,ITGB2,C1S,CFB
KEGG	hsa00480	Glutathione metabolism	5	52	1.28	0.85	0.00071	9606.ENSP00000300060,9606.ENSP00000311469,9606.ENSP00000359258,9606.ENSP00000373477,9606.ENSP00000381340	ANPEP,GSTM1,GCLM,GPX3,GGT5
KEGG	hsa00650	Butanoate metabolism	4	27	1.47	0.88	0.00071	9606.ENSP00000314649,9606.ENSP00000322706,9606.ENSP00000376184,9606.ENSP00000379845	ALDH5A1,HMGCS1,BDH1,ABAT
KEGG	hsa01100	Metabolic pathways	21	1435	0.46	0.54	0.00071	9606.ENSP00000236959,9606.ENSP00000300060,9606.ENSP00000311469,9606.ENSP00000314649,9606.ENSP00000317780,9606.ENSP00000322706,9606.ENSP00000330737,9606.ENSP00000349577,9606.ENSP00000359151,9606.ENSP00000359258,9606.ENSP00000365462,9606.ENSP00000371152,9606.ENSP00000373477,9606.ENSP00000376184,9606.ENSP00000379038,9606.ENSP00000379845,9606.ENSP00000381340,9606.ENSP00000385757,9606.ENSP00000408526,9606.ENSP00000491537,9606.ENSP00000498358	ATIC,ANPEP,GSTM1,ALDH5A1,COX5A,HMGCS1,NDUFA12,PRODH,DBT,GCLM,PCCA,ASAH1,GPX3,BDH1,TYMP,ABAT,GGT5,BLVRA,IMPA1,FDFT1,FECH
KEGG	hsa04145	Phagosome	7	141	0.99	0.77	0.00071	9606.ENSP00000245907,9606.ENSP00000364114,9606.ENSP00000365402,9606.ENSP00000367851,9606.ENSP00000378786,9606.ENSP00000380948,9606.ENSP00000452786	C3,HLA-DRB5,HLA-C,CYBB,HLA-DRA,ITGB2,ITGB3
KEGG	hsa05416	Viral myocarditis	5	55	1.26	0.84	0.00071	9606.ENSP00000264832,9606.ENSP00000364114,9606.ENSP00000365402,9606.ENSP00000378786,9606.ENSP00000380948	ICAM1,HLA-DRB5,HLA-C,HLA-DRA,ITGB2
KEGG	hsa05140	Leishmaniasis	5	69	1.16	0.76	0.0013	9606.ENSP00000245907,9606.ENSP00000364114,9606.ENSP00000367851,9606.ENSP00000378786,9606.ENSP00000380948	C3,HLA-DRB5,CYBB,HLA-DRA,ITGB2
KEGG	hsa04940	Type I diabetes mellitus	4	38	1.32	0.75	0.0019	9606.ENSP00000340019,9606.ENSP00000364114,9606.ENSP00000365402,9606.ENSP00000378786	HSPD1,HLA-DRB5,HLA-C,HLA-DRA
KEGG	hsa04216	Ferroptosis	4	41	1.29	0.73	0.0023	9606.ENSP00000264613,9606.ENSP00000359258,9606.ENSP00000367851,9606.ENSP00000370635	CP,GCLM,CYBB,SLC39A14
KEGG	hsa00280	Valine, leucine and isoleucine degradation	4	46	1.24	0.68	0.0032	9606.ENSP00000322706,9606.ENSP00000359151,9606.ENSP00000365462,9606.ENSP00000379845	HMGCS1,DBT,PCCA,ABAT
KEGG	hsa04640	Hematopoietic cell lineage	5	90	1.04	0.65	0.0032	9606.ENSP00000300060,9606.ENSP00000310036,9606.ENSP00000364114,9606.ENSP00000378786,9606.ENSP00000452786	ANPEP,CD34,HLA-DRB5,HLA-DRA,ITGB3
KEGG	hsa04612	Antigen processing and presentation	4	64	1.09	0.55	0.0090	9606.ENSP00000364114,9606.ENSP00000365402,9606.ENSP00000372155,9606.ENSP00000378786	HLA-DRB5,HLA-C,PSME1,HLA-DRA
KEGG	hsa04650	Natural killer cell mediated cytotoxicity	5	120	0.92	0.52	0.0092	9606.ENSP00000046794,9606.ENSP00000264832,9606.ENSP00000365402,9606.ENSP00000380948,9606.ENSP00000424846	LCP2,ICAM1,HLA-C,ITGB2,SH3BP2
KEGG	hsa05133	Pertussis	4	73	1.04	0.51	0.0126	9606.ENSP00000245907,9606.ENSP00000298159,9606.ENSP00000380948,9606.ENSP00000385035	C3,CFL2,ITGB2,C1S
KEGG	hsa00640	Propanoate metabolism	3	33	1.26	0.52	0.0146	9606.ENSP00000359151,9606.ENSP00000365462,9606.ENSP00000379845	DBT,PCCA,ABAT
KEGG	hsa04810	Regulation of actin cytoskeleton	6	209	0.76	0.45	0.0146	9606.ENSP00000222573,9606.ENSP00000268182,9606.ENSP00000298159,9606.ENSP00000380948,9606.ENSP00000389631,9606.ENSP00000452786	ITGB8,IQGAP1,CFL2,ITGB2,ARPC1B,ITGB3
KEGG	hsa05330	Allograft rejection	3	34	1.24	0.51	0.0147	9606.ENSP00000364114,9606.ENSP00000365402,9606.ENSP00000378786	HLA-DRB5,HLA-C,HLA-DRA
KEGG	hsa05323	Rheumatoid arthritis	4	83	0.98	0.48	0.0160	9606.ENSP00000264832,9606.ENSP00000364114,9606.ENSP00000378786,9606.ENSP00000380948	ICAM1,HLA-DRB5,HLA-DRA,ITGB2
KEGG	hsa05332	Graft-versus-host disease	3	36	1.22	0.5	0.0160	9606.ENSP00000364114,9606.ENSP00000365402,9606.ENSP00000378786	HLA-DRB5,HLA-C,HLA-DRA
KEGG	hsa04512	ECM-receptor interaction	4	88	0.96	0.46	0.0179	9606.ENSP00000222573,9606.ENSP00000226218,9606.ENSP00000407685,9606.ENSP00000452786	ITGB8,VTN,TNXB,ITGB3
KEGG	hsa00860	Porphyrin and chlorophyll metabolism	3	41	1.16	0.47	0.0200	9606.ENSP00000264613,9606.ENSP00000385757,9606.ENSP00000498358	CP,BLVRA,FECH
KEGG	hsa05165	Human papillomavirus infection	7	324	0.63	0.4	0.0200	9606.ENSP00000222573,9606.ENSP00000226218,9606.ENSP00000360141,9606.ENSP00000365402,9606.ENSP00000381601,9606.ENSP00000407685,9606.ENSP00000452786	ITGB8,VTN,GNAS,HLA-C,MX1,TNXB,ITGB3
KEGG	hsa05322	Systemic lupus erythematosus	4	94	0.93	0.45	0.0200	9606.ENSP00000245907,9606.ENSP00000364114,9606.ENSP00000378786,9606.ENSP00000385035	C3,HLA-DRB5,HLA-DRA,C1S
KEGG	hsa00072	Synthesis and degradation of ketone bodies	2	10	1.6	0.49	0.0204	9606.ENSP00000322706,9606.ENSP00000376184	HMGCS1,BDH1
KEGG	hsa05152	Tuberculosis	5	165	0.78	0.42	0.0204	9606.ENSP00000245907,9606.ENSP00000340019,9606.ENSP00000364114,9606.ENSP00000378786,9606.ENSP00000380948	C3,HSPD1,HLA-DRB5,HLA-DRA,ITGB2
KEGG	hsa05320	Autoimmune thyroid disease	3	48	1.09	0.44	0.0255	9606.ENSP00000364114,9606.ENSP00000365402,9606.ENSP00000378786	HLA-DRB5,HLA-C,HLA-DRA
KEGG	hsa05134	Legionellosis	3	55	1.04	0.4	0.0355	9606.ENSP00000245907,9606.ENSP00000340019,9606.ENSP00000380948	C3,HSPD1,ITGB2
KEGG	hsa04510	Focal adhesion	5	195	0.71	0.36	0.0372	9606.ENSP00000222573,9606.ENSP00000226218,9606.ENSP00000379975,9606.ENSP00000407685,9606.ENSP00000452786	ITGB8,VTN,ILK,TNXB,ITGB3
KEGG	hsa05166	Human T-cell leukemia virus 1 infection	5	210	0.68	0.33	0.0489	9606.ENSP00000264832,9606.ENSP00000364114,9606.ENSP00000365402,9606.ENSP00000378786,9606.ENSP00000380948	ICAM1,HLA-DRB5,HLA-C,HLA-DRA,ITGB2
Reactome	HSA-168256	Immune System	27	1979	0.43	0.46	0.0027	9606.ENSP00000046794,9606.ENSP00000226218,9606.ENSP00000245907,9606.ENSP00000248594,9606.ENSP00000264832,9606.ENSP00000268182,9606.ENSP00000300060,9606.ENSP00000310036,9606.ENSP00000359497,9606.ENSP00000364114,9606.ENSP00000365402,9606.ENSP00000367851,9606.ENSP00000371152,9606.ENSP00000372155,9606.ENSP00000378131,9606.ENSP00000378786,9606.ENSP00000380948,9606.ENSP00000381581,9606.ENSP00000381601,9606.ENSP00000385035,9606.ENSP00000389631,9606.ENSP00000411355,9606.ENSP00000416561,9606.ENSP00000450540,9606.ENSP00000478303,9606.ENSP00000480132,9606.ENSP00000497382	LCP2,VTN,C3,PTPN12,ICAM1,IQGAP1,ANPEP,CD34,GBP2,HLA-DRB5,HLA-C,CYBB,ASAH1,PSME1,CFI,HLA-DRA,ITGB2,LCP1,MX1,C1S,ARPC1B,PTPRC,CFB,SERPINA3,POLR2E,NCAM1,CD53
Reactome	HSA-168249	Innate Immune System	18	1041	0.54	0.47	0.0052	9606.ENSP00000046794,9606.ENSP00000226218,9606.ENSP00000245907,9606.ENSP00000268182,9606.ENSP00000300060,9606.ENSP00000365402,9606.ENSP00000367851,9606.ENSP00000371152,9606.ENSP00000372155,9606.ENSP00000378131,9606.ENSP00000380948,9606.ENSP00000385035,9606.ENSP00000389631,9606.ENSP00000411355,9606.ENSP00000416561,9606.ENSP00000450540,9606.ENSP00000478303,9606.ENSP00000497382	LCP2,VTN,C3,IQGAP1,ANPEP,HLA-C,CYBB,ASAH1,PSME1,CFI,ITGB2,C1S,ARPC1B,PTPRC,CFB,SERPINA3,POLR2E,CD53
Reactome	HSA-216083	Integrin cell surface interactions	6	85	1.15	0.62	0.0052	9606.ENSP00000222573,9606.ENSP00000226218,9606.ENSP00000264828,9606.ENSP00000264832,9606.ENSP00000380948,9606.ENSP00000452786	ITGB8,VTN,COL5A3,ICAM1,ITGB2,ITGB3
Reactome	HSA-877300	Interferon gamma signaling	6	90	1.12	0.61	0.0052	9606.ENSP00000264832,9606.ENSP00000359497,9606.ENSP00000364114,9606.ENSP00000365402,9606.ENSP00000378786,9606.ENSP00000480132	ICAM1,GBP2,HLA-DRB5,HLA-C,HLA-DRA,NCAM1
Reactome	HSA-977606	Regulation of Complement cascade	5	49	1.31	0.64	0.0052	9606.ENSP00000226218,9606.ENSP00000245907,9606.ENSP00000378131,9606.ENSP00000385035,9606.ENSP00000416561	VTN,C3,CFI,C1S,CFB
Reactome	HSA-3000178	ECM proteoglycans	5	76	1.12	0.48	0.0175	9606.ENSP00000226218,9606.ENSP00000264828,9606.ENSP00000407685,9606.ENSP00000452786,9606.ENSP00000480132	VTN,COL5A3,TNXB,ITGB3,NCAM1
Reactome	HSA-9711123	Cellular response to chemical stress	7	195	0.85	0.44	0.0199	9606.ENSP00000260665,9606.ENSP00000317780,9606.ENSP00000359258,9606.ENSP00000367851,9606.ENSP00000372155,9606.ENSP00000373477,9606.ENSP00000385757	LRPPRC,COX5A,GCLM,CYBB,PSME1,GPX3,BLVRA
Reactome	HSA-913531	Interferon Signaling	7	199	0.85	0.44	0.0200	9606.ENSP00000264832,9606.ENSP00000359497,9606.ENSP00000364114,9606.ENSP00000365402,9606.ENSP00000378786,9606.ENSP00000381601,9606.ENSP00000480132	ICAM1,GBP2,HLA-DRB5,HLA-C,HLA-DRA,MX1,NCAM1
